003,1,[Hat,1,5,100],69251226083;
003,2,[Orange Tree,35,2,90],71060867036;
003,3,[Orange Juice,23,3,10],94852117080;
003,4,[Board,50,1,909.99],69251226083;
003,5,[Ford Focus,66,1,39000],69251226083;
003,6,[Hot Wheels,88,1,1.99],85769035048;
003,7,[Stent,44,1,10000],99849574038;
003,8,[Shape,51,2,300],26608609043;
003,9,[Plate,99,5,65],14246812005;
003,10,[Cups,95,6,20],75686864004;
003,11,[Cloud Server,335,1,200],98577506053;
003,12,[Storage,229,2,500],68089104053;
003,13,[R1,1000,1,25000],73599035059;
003,14,[PC Gamer,661,2,11000],18427219091;
003,15,[Chair,133,2,90],69251226083;
003,16,[Desk,122,1,200.95],98577506053;
003,17,[Software License,69,2,250.91],69251226083;
003,18,[hub usb,8,3,123],99849574038;

