001,14246812005,Claudio,6000;
001,75686864004,Marcelo,4500;
001,98577506053,Marcela,5800;
001,85769035048,Matheus,2550;
001,68089104053,Ana,4980;
001,73599035059,Caroline,5200;
001,18427219091,Jorge,6000;
002,92531856000101,Health+,Hospital;  
002,05697412000146,Yummy Foods,Restaurant;
002,41404096000130,Best Buddy,Pet;
002,02694353000164,Buy Buy,Clothes Store;
002,16043110000170,Smart Hand,Telephony;
002,71128044000140,Magic Plants,Rural;
003,11,[Cloud Server,335,1,200],98577506053;
003,12,[Storage,229,2,500],68089104053;
003,13,[R1,1000,1,25000],73599035059;
003,14,[PC Gamer,661,2,11000],18427219091;
003,15,[Chair,133,2,90],69251226083;
003,16,[Desk,122,1,200.95],98577506053;
003,17,[Software License,69,2,250.91],69251226083;
003,18,[hub usb,8,3,123],99849574038;
